#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CDKN1A	RBM38	9606.ENSP00000384849	9606.ENSP00000348538	0	0	0	0	0.066	0	0	0.603	0.613
CDKN1A	PLK3	9606.ENSP00000384849	9606.ENSP00000361275	0	0	0	0	0.136	0	0	0.358	0.422
CDKN1A	CHEK2	9606.ENSP00000384849	9606.ENSP00000372023	0	0	0	0	0.105	0.292	0	0.654	0.761
CDKN1A	GTSE1	9606.ENSP00000384849	9606.ENSP00000415430	0	0	0	0	0	0	0.800	0.253	0.844
CDKN1B	CHEK2	9606.ENSP00000228872	9606.ENSP00000372023	0	0	0	0	0.105	0	0	0.520	0.552
CDKN1B	MDM2	9606.ENSP00000228872	9606.ENSP00000258149	0	0	0	0	0.042	0.045	0	0.584	0.587
CDKN1B	TP53	9606.ENSP00000228872	9606.ENSP00000269305	0	0	0	0	0	0.076	0.900	0.911	0.991
CHEK2	MDM2	9606.ENSP00000372023	9606.ENSP00000258149	0	0	0	0	0.049	0.625	0.750	0.837	0.983
CHEK2	PML	9606.ENSP00000372023	9606.ENSP00000268058	0	0	0	0	0.057	0.292	0	0.269	0.469
CHEK2	TP53	9606.ENSP00000372023	9606.ENSP00000269305	0	0	0	0	0.072	0.833	0.750	0.992	0.999
CHEK2	PLK2	9606.ENSP00000372023	9606.ENSP00000274289	0	0	0	0.596	0.104	0.301	0	0.295	0.520
CHEK2	PLK3	9606.ENSP00000372023	9606.ENSP00000361275	0	0	0	0.608	0.104	0.726	0	0.303	0.814
CHEK2	PPP2R5C	9606.ENSP00000372023	9606.ENSP00000412324	0	0	0	0	0	0.510	0	0.151	0.566
CRADD	TP53	9606.ENSP00000439068	9606.ENSP00000269305	0	0	0	0	0	0	0	0.586	0.586
CRADD	PIDD1	9606.ENSP00000439068	9606.ENSP00000337797	0	0	0	0	0	0.981	0.900	0.999	0.999
GML	TP53	9606.ENSP00000220940	9606.ENSP00000269305	0	0	0	0	0	0	0	0.496	0.495
GTSE1	TP53	9606.ENSP00000415430	9606.ENSP00000269305	0	0	0	0	0.080	0	0.700	0.779	0.933
MDM2	PIDD1	9606.ENSP00000258149	9606.ENSP00000337797	0	0	0	0	0.058	0.071	0	0.502	0.526
MDM2	PPP2R5C	9606.ENSP00000258149	9606.ENSP00000412324	0	0	0	0	0	0.292	0.500	0.182	0.685
MDM2	RBM38	9606.ENSP00000258149	9606.ENSP00000348538	0	0	0	0	0	0.292	0	0.595	0.701
MDM2	PML	9606.ENSP00000258149	9606.ENSP00000268058	0	0	0	0	0.049	0.837	0.400	0.375	0.934
MDM2	RPL26	9606.ENSP00000258149	9606.ENSP00000463784	0	0	0	0	0.053	0.669	0	0.970	0.990
MDM2	TP53	9606.ENSP00000258149	9606.ENSP00000269305	0	0	0	0	0.116	0.999	0.900	0.999	0.999
MUC1	TP53	9606.ENSP00000484824	9606.ENSP00000269305	0	0	0	0	0	0.294	0	0.954	0.966
PIDD1	TP53	9606.ENSP00000337797	9606.ENSP00000269305	0	0	0	0	0.049	0.045	0.750	0.837	0.958
PIDD1	TRIAP1	9606.ENSP00000337797	9606.ENSP00000449795	0	0	0	0	0.047	0	0	0.444	0.447
PLK2	TP53	9606.ENSP00000274289	9606.ENSP00000269305	0	0	0	0	0	0	0.750	0.447	0.855
PLK3	TP53	9606.ENSP00000361275	9606.ENSP00000269305	0	0	0	0	0	0.510	0.750	0.431	0.924
PML	TP53	9606.ENSP00000268058	9606.ENSP00000269305	0	0	0	0	0.085	0.874	0.500	0.509	0.967
PPP2R5C	TP53	9606.ENSP00000412324	9606.ENSP00000269305	0	0	0	0	0	0.678	0.500	0.308	0.878
RBM38	TP53	9606.ENSP00000348538	9606.ENSP00000269305	0	0	0	0	0	0	0	0.577	0.577
RBM38	RPL26	9606.ENSP00000348538	9606.ENSP00000463784	0	0	0	0	0	0	0	0.400	0.400
RPL26	TP53	9606.ENSP00000463784	9606.ENSP00000269305	0	0	0	0	0	0.383	0	0.808	0.876
TP53	TRIAP1	9606.ENSP00000269305	9606.ENSP00000449795	0	0	0	0	0	0.292	0.750	0.291	0.863
